2|4|5|1|1|5/4/2022
3|5|3|1|1|6/23/2022
4|5|3|1|1|6/30/2022
5|2|1|1|5|7/28/2022
6|2|1|2|10|7/28/2022
7|3|1|1|4|8/24/2022
8|3|1|3|4|8/24/2022
9|2|1|1|5|6/22/2022
10|2|1|2|10|6/22/2022
11|2|1|1|5|6/28/2022
12|2|1|2|10|6/28/2022
13|2|1|1|5|6/28/2022
14|2|1|2|10|6/28/2022
15|2|1|1|5|6/28/2022
16|2|1|2|10|6/28/2022
17|2|1|1|5|6/28/2022
18|2|1|2|10|6/28/2022
19|2|1|1|5|6/14/2022
20|2|1|2|10|6/14/2022
21|2|1|1|5|6/28/2022
22|2|1|2|10|6/28/2022
23|2|1|1|5|6/28/2022
24|2|1|2|10|6/28/2022
25|2|1|1|5|6/14/2022
26|2|1|2|10|6/14/2022
27|2|1|1|5|6/21/2022
28|2|1|2|10|6/21/2022
29|2|1|1|5|6/21/2022
30|2|1|2|10|6/21/2022
31|2|1|1|5|6/28/2022
32|2|1|2|10|6/28/2022
